relative_path,project,area,layer_name,source_path,modality,native_gsd_m,product_grid_gsd_m,dtype,nodata,processing_method,alignment_status,quality_mask,interpretation_limit
CV_Intern_1_terrain_perception/raster_layers/Consensus_A/accepted_regions_psr_only_25m_area_A.tif,CV Intern 1,A,accepted_regions_psr_only_25m_area_A,/mnt/d/Intern_outputs/Intern-3_outputs/Accepted_Outputs/accepted_candidate_regions_psr_only.tif,Intern 3 accepted watershed regions,derived from 25 m terrain grid,25,int32,0.0,none; categorical aligned window crop,DRAFT,0=background,"Region IDs are segmentation labels, not physical classes."
CV_Intern_1_terrain_perception/raster_layers/Consensus_A/confidence_class_25m_v4_area_A.tif,CV Intern 1,A,confidence_class_25m_v4_area_A,/mnt/d/Intern_outputs/Intern-2_outputs/outputs/confidence_class_25m_v4.tif,Intern 2 fuzzy confidence class,derived multi-source,25,uint8,3.0,none; categorical aligned window crop,DRAFT,class 3=invalid,"Internship model output, not measured terrain truth."
CV_Intern_1_terrain_perception/raster_layers/Consensus_A/confidence_continuous_25m_v4_area_A.tif,CV Intern 1,A,confidence_continuous_25m_v4_area_A,/mnt/d/Intern_outputs/Intern-2_outputs/outputs/confidence_continuous_25m_v4.tif,Intern 2 fuzzy confidence score,derived multi-source,25,float32,nan,none; aligned window crop,DRAFT,confidence_class_25m_v4,Model confidence only; not a calibrated probability.
CV_Intern_1_terrain_perception/raster_layers/Consensus_A/consensus_goal_mask_25m_area_A.tif,CV Intern 1,A,consensus_goal_mask_25m_area_A,/mnt/d/Intern_outputs/Intern-3_outputs/science_priority_ranked.csv,Supervisor-selected consensus goal mask,derived multi-source,25,uint8,255.0,region-ID table join,DRAFT,accepted_regions_psr_only_25m,1=selected target region and 0=other cell in this crop.
CV_Intern_1_terrain_perception/raster_layers/Consensus_A/exclusion_mask_25m_v4_area_A.tif,CV Intern 1,A,exclusion_mask_25m_v4_area_A,/mnt/d/Intern_outputs/Intern-2_outputs/outputs/exclusion_mask_v4.npy,Intern 2 exclusion categories,derived multi-source,25,uint8,255.0,array window crop; georeferenced from LOLA 25 m grid,DRAFT,self,"Preserves submitted classes 0, 1, and 2; read the supplied constraint table."
CV_Intern_1_terrain_perception/raster_layers/Consensus_A/feasible_mask_25m_v6_area_A.tif,CV Intern 1,A,feasible_mask_25m_v6_area_A,/mnt/d/Intern_outputs/Intern-2_outputs/outputs/feasible_mask_v6.npy,Intern 2 modeled feasible mask,derived multi-source,25,uint8,255.0,array window crop; georeferenced from LOLA 25 m grid,DRAFT,self,1=feasible and 0=excluded under the submitted model.
CV_Intern_1_terrain_perception/raster_layers/Consensus_A/lola_25m_area_A.tif,CV Intern 1,A,lola_25m_area_A,/mnt/d/Intern_Digital_Twin_Project_Files_20260519/Intern_1_feature_fusion/raster_layers/lola_downsampled_25m.tif,LOLA terrain reference grid,LOLA-derived; represented at 25,25,float32,-3.3999999521443642e+38,none; aligned window crop,SUPPORTING,source nodata,Decision grid; retain source-resolution caveats.
CV_Intern_1_terrain_perception/raster_layers/Consensus_A/lola_5m_area_A.tif,CV Intern 1,A,lola_5m_area_A,/mnt/d/Intern_Digital_Twin_Project_Files_20260519/Intern_1_feature_fusion/raster_layers/lola_matched_to_lroc_5m_clean.tif,LOLA terrain matched to LROC geometry,LOLA-derived; represented at 5,5,float32,-3.3999999521443642e+38,none in this package; source is an existing matched product,SUPPORTING,source nodata,Use as terrain support; the 5 m representation is not a new native LOLA measurement.
CV_Intern_1_terrain_perception/raster_layers/Consensus_A/lroc_5m_area_A.tif,CV Intern 1,A,lroc_5m_area_A,/mnt/d/Intern_Digital_Twin_Project_Files_20260519/Intern_1_feature_fusion/raster_layers/lroc_5m_float32_clean.tif,LROC optical,5,5,float32,-3.3999999521443642e+38,none; aligned window crop,SUPPORTING,lroc_shadow_mask_5m,Brightness depends on illumination and is not elevation or material abundance.
CV_Intern_1_terrain_perception/raster_layers/Consensus_A/lroc_shadow_mask_5m_area_A.tif,CV Intern 1,A,lroc_shadow_mask_5m_area_A,/mnt/d/Intern_Digital_Twin_Project_Files_20260519/Intern_1_feature_fusion/raster_layers/lroc_shadow_mask_final.tif,LROC-derived shadow mask,5,5,uint8,255.0,none; categorical aligned window crop,SUPPORTING,self,"0=illuminated, 1=shadow, 255=no-data."
